epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,1913.75,1.07841,1.07886,1.06457,0.79418,0.67041,0.72155,0.43062,1.42338,1.19113,1.29876,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
82,1937.58,1.06447,1.09809,1.06737,0.78803,0.67764,0.7187,0.43264,1.41821,1.18747,1.29758,0.00163361,0.000544536,0.00163361,0.000544536,0.00163361,0.000544536,0.00163361,0.000544536
83,1960.15,1.04623,1.06297,1.06725,0.73738,0.706,0.72588,0.43788,1.41267,1.18153,1.29204,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
84,1983.73,1.04187,1.04757,1.0551,0.76857,0.6787,0.72041,0.44114,1.39806,1.16735,1.28161,0.00160661,0.000535537,0.00160661,0.000535537,0.00160661,0.000535537,0.00160661,0.000535537
85,2006.84,1.05196,1.05234,1.05736,0.73663,0.70335,0.72017,0.43879,1.39933,1.194,1.28172,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
86,2029.65,1.04967,1.0545,1.06767,0.76882,0.69259,0.72751,0.43698,1.40412,1.17747,1.28064,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538
87,2052.84,1.02879,1.04827,1.05393,0.76725,0.68196,0.73304,0.44034,1.41053,1.16851,1.28553,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
88,2075.25,1.04578,1.07057,1.06993,0.76978,0.67157,0.72418,0.43962,1.40933,1.17734,1.28765,0.00155262,0.000517539,0.00155262,0.000517539,0.00155262,0.000517539,0.00155262,0.000517539
89,2099.1,1.02402,1.02714,1.05491,0.77719,0.6758,0.72874,0.4458,1.40266,1.17934,1.28528,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
90,2123.21,1.04769,1.03315,1.05936,0.79892,0.68261,0.72971,0.44242,1.39834,1.17783,1.29053,0.00152562,0.00050854,0.00152562,0.00050854,0.00152562,0.00050854,0.00152562,0.00050854
91,2145.84,1.03843,1.04287,1.06581,0.79713,0.67127,0.73234,0.4423,1.41419,1.19089,1.30252,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
92,2169.17,1.03084,1.05248,1.04753,0.79602,0.66663,0.73404,0.44577,1.41823,1.20419,1.30176,0.00149862,0.000499541,0.00149862,0.000499541,0.00149862,0.000499541,0.00149862,0.000499541
93,2192.15,1.02044,1.03078,1.0538,0.79041,0.65657,0.73041,0.44561,1.41762,1.19161,1.30647,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
94,2216.02,1.01343,1.04489,1.0574,0.75069,0.69254,0.73434,0.44312,1.41631,1.1754,1.30457,0.00147163,0.000490542,0.00147163,0.000490542,0.00147163,0.000490542,0.00147163,0.000490542
